file_name,date_image,site_ID,species,fish_ID,standard_length (mm),total_length (mm)
IMG_20220807_120209030,2022-08-07,Weslaco ,,NA,47.972,57.966
IMG_20220807_155019762,2022-08-07,Brownsville,,PL-1,26.555,27.569
IMG_20220807_155214400,2022-08-07,Brownsville,,PL-2,37.198,44.291
IMG_20220807_155430263,2022-08-07,Brownsville,,PL-1,22.319,22.619
IMG_20220807_155833743,2022-08-07,Brownsville,,PL-3,45.763,50.908
IMG_20220807_160053392,2022-08-07,Brownsville,,PL-2,24.791,24.791
IMG_20220807_160250102,2022-08-07,Brownsville,,PL-4,29.367,31.143
IMG_20220807_173221938,2022-08-07,Weslaco,,PL-3,41.482,48.451
IMG_20220807_173630504,2022-08-07,Weslaco,,PL-4,28.034,31.394
IMG_20220807_173808333,2022-08-07,Weslaco,,PL-5,31.874,40.453
IMG_20220807_174029799,2022-08-07,Weslaco,,PL-5,26.223,33.211
IMG_20220807_174654766,2022-08-07,Weslaco,,PL-6,50.911,63.352
IMG_20220807_174903697,2022-08-07,Weslaco,,PL-6,51.991,60.176
IMG_20220807_175021927,2022-08-07,Weslaco,,PL-7,44.486,50.253
IMG_20220807_175218619,2022-08-07,Weslaco,,PL-8,28.998,36.068
IMG_20220807_180259438,2022-08-07,Weslaco,,PL-7,25.933,32.271
IMG_20220807_175946676,2022-08-07,Weslaco,,PL-7,26.122,32.137
IMG_20220807_180419424,2022-08-07,Weslaco,,PL-9,28.360,31.574
IMG_20220807_180825578,2022-08-07,Weslaco,,PL-10,36.729,39.524
IMG_20220807_181156610,2022-08-07,Weslaco,,PL-11,31.754,38.193
IMG_20220807_181432107,2022-08-07,Weslaco,,PL- 12,32.345,40.403
IMG_20220807_181639661,2022-08-07,Weslaco,,PL-13,34.796,40.353
IMG_20220807_182045828,2022-08-07,Weslaco,,PL- 15,39.660,45.923
IMG_20220807_181844765,2022-08-07,Weslaco,,PL- 14,22.809,26.347
IMG_20220807_182405988,2022-08-07,Weslaco,,PL-8,49.612,61.196
IMG_20220807_183746191,2022-08-07,Weslaco,,PL-9,23.838,29.281
IMG_20220807_184305053,2022-08-07,Weslaco,,PL- 10,26.048,31.89
IMG_20220807_184430820,2022-08-07,Weslaco,,PL- 11,34.077,49.392
IMG_20220807_184626366,2022-08-07,Weslaco,,PL-12,42.136,51.273
IMG_20220807_184909233,2022-08-07,Weslaco,,PL-13,23.620,28.502
IMG_20220807_185018016,2022-08-07,Weslaco,,PL- 14,36.618,45.602
IMG_20220807_185409721,2022-08-07,Weslaco,,PL- 15,39.594,48.343
IMG_20220807_185648331,2022-08-07,Weslaco,,PL-16,32.410,40.632
IMG_20220807_185738726,2022-08-07,Weslaco,,PF-17,36.635,44.753
IMG_20220807_190033410,2022-08-07,Weslaco,,PF-18,44.441,51.449
IMG_20220807_190148060,2022-08-07,Weslaco,,PF-19,36.025,42.974
IMG_20220807_190629173,2022-08-07,Weslaco,,PF-18,39.841,48.815
IMG_20220807_190822629,2022-08-07,Weslaco,,PF-21,47.023,56.446
IMG_20220807_191257475,2022-08-07,Weslaco,,PF-15,30.760,38.309
