Image,Name,Length µm
IMG_20220809_164624627_HDR.jpg,total,55213
IMG_20220809_164658951_HDR.jpg,br-op_09aug_pl-26_m,10000
IMG_20220809_164658951_HDR.jpg,standard,37069.4
IMG_20220809_164658951_HDR.jpg,total,46172.5
IMG_20220809_164856968.jpg,br-op_09aug_pl-30_f,10000
IMG_20220809_164856968.jpg,standard,36933.1
IMG_20220809_164856968.jpg,total,43080.4
IMG_20220809_165004482_HDR.jpg,br-op_09aug_pl-31_f,10000
IMG_20220809_165004482_HDR.jpg,standard,48261.9
IMG_20220809_165004482_HDR.jpg,total,61445.2
IMG_20220809_165247603_HDR.jpg,br-op_09aug_pf-36_f,10000
IMG_20220809_165247603_HDR.jpg,standard,40400.5
IMG_20220809_165247603_HDR.jpg,total,49525.1
IMG_20220809_165441000_HDR.jpg,br-op_09aug_pf-37_f,10000
IMG_20220809_165441000_HDR.jpg,standard,44339.9
IMG_20220809_165441000_HDR.jpg,total,52676.9
IMG_20220809_165653275_HDR.jpg,br-op_09aug_pf-38_f,10000
IMG_20220809_165653275_HDR.jpg,standard,34915.9
IMG_20220809_165653275_HDR.jpg,total,43335.2
IMG_20220809_165932902_HDR.jpg,br-op_09aug_pl-32_f,10000
IMG_20220809_165932902_HDR.jpg,standard,28240.8
IMG_20220809_165932902_HDR.jpg,total,34637.6
IMG_20220809_170203429_HDR.jpg,br-op_09aug_pl-33_f,10000
IMG_20220809_170203429_HDR.jpg,standard,19716.9
IMG_20220809_170203429_HDR.jpg,total,24895
IMG_20220809_170445960_HDR.jpg,br-op_09aug_pf-39,10000
IMG_20220809_170445960_HDR.jpg,standard,34887.3
IMG_20220809_170445960_HDR.jpg,total,42589.1
IMG_20220809_170810174_HDR.jpg,br-op_09aug_pl-34_m,10000
IMG_20220809_170810174_HDR.jpg,standard,33208.8
IMG_20220809_170810174_HDR.jpg,total,41344.7
IMG_20220809_170908029_HDR.jpg,br-op_09aug_pl-35_m,10000
IMG_20220809_170908029_HDR.jpg,standard,31659.1
IMG_20220809_170908029_HDR.jpg,total,39412.1
IMG_20220809_171126079_HDR.jpg,br-op_09aug_pl-36_f,10000
IMG_20220809_171126079_HDR.jpg,standard,29045.2
IMG_20220809_171126079_HDR.jpg,total,35179.9
IMG_20220809_171521899_HDR.jpg,br-op_09aug_pl-38_f,10000
IMG_20220809_171521899_HDR.jpg,standard,27470.3
IMG_20220809_171521899_HDR.jpg,total,34950.5
IMG_20220809_171738946_HDR.jpg,br-op_09aug_pf-40_f,10000
IMG_20220809_171738946_HDR.jpg,standard,22575.2
IMG_20220809_171738946_HDR.jpg,total,28389
IMG_20220809_171940208_HDR.jpg,br-op_09aug_pl-37_f,10000
IMG_20220809_171940208_HDR.jpg,standard,31831.2
IMG_20220809_171940208_HDR.jpg,total,39545.5
IMG_20220809_172137375.jpg,br-op_09aug_pl-38_f,10000
IMG_20220809_172137375.jpg,standard,28110.1
IMG_20220809_172137375.jpg,total,34358.3
IMG_20220809_172309085_HDR.jpg,br-op_09aug_pf-34_f,10000
IMG_20220809_172309085_HDR.jpg,standard,24635
IMG_20220809_172309085_HDR.jpg,total,29973.3
IMG_20220809_172424587_HDR.jpg,br-op_09aug_pl-39_m,10000
IMG_20220809_172424587_HDR.jpg,standard,28190.1
IMG_20220809_172424587_HDR.jpg,total,35184.7
IMG_20220809_172539817_HDR.jpg,br-op_09aug_pl-40_m,10000
IMG_20220809_172539817_HDR.jpg,standard,26338
IMG_20220809_172539817_HDR.jpg,total,31535.9
IMG_20220809_172723519_HDR.jpg,br-op_09aug_pf-41_f,10000
IMG_20220809_172723519_HDR.jpg,standard,20460
IMG_20220809_172723519_HDR.jpg,total,24672.1
IMG_20220809_172905702.jpg,br-op_09aug_pl-41_f,10000
IMG_20220809_172905702.jpg,standard,26744.3
IMG_20220809_172905702.jpg,total,32114.5
IMG_20220809_173142910.jpg,br-op_09aug_pl-42_f,10000
IMG_20220809_173142910.jpg,standard,24490.3
IMG_20220809_173142910.jpg,total,31983.1
IMG_20220811_154418645_HDR.jpg,wes_11aug_pl-43_f,10000
IMG_20220811_154418645_HDR.jpg,standard,31880.1
IMG_20220811_154418645_HDR.jpg,total,38413.9
IMG_20220811_154636154_HDR.jpg,wes_11aug_pl-44_f,10000
IMG_20220811_154636154_HDR.jpg,standard,22633.9
IMG_20220811_154636154_HDR.jpg,total,26344.6
IMG_20220811_154828316_HDR.jpg,wes_11aug_pf-42_f,10000
IMG_20220811_154828316_HDR.jpg,standard,25854.7
IMG_20220811_154828316_HDR.jpg,total,30852.3
IMG_20220811_154954403_HDR.jpg,wes_11aug_pf-43_f,10000
IMG_20220811_154954403_HDR.jpg,standard,32552.4
IMG_20220811_154954403_HDR.jpg,total,40282.7
IMG_20220811_155121404_HDR.jpg,wes_11aug_pf-44_f,10000
IMG_20220811_155121404_HDR.jpg,standard,23187.7
